__file,__sheet,机房,设备,total_series,anomaly_series,max_knn,anomaly_ratio
1-J301电池室放电电池数据表.xlsx,DC6,咸阳秦都西咸数据中心1号楼J301电力电池机房,06#开关电源蓄电池组,2,0,0.5508452923666454,0.0
1-D301电池室放电电池数据表.xlsx,DC4,咸阳秦都西咸数据中心1号楼D301电力电池机房,4#开关电源蓄电池组,2,0,0.5439159988372844,0.0
1-D303电池室放电电池数据表.xlsx,DC3,咸阳秦都西咸数据中心1号楼D303电力电池机房,3#开关电源蓄电池组,2,0,0.5390225288153717,0.0
1-D303电池室放电电池数据表.xlsx,DC2,咸阳秦都西咸数据中心1号楼D303电力电池机房,2#开关电源蓄电池组,2,0,0.5215950015985495,0.0
1-D201电池室放电电池数据表.xlsx,DC1,咸阳秦都西咸数据中心1号楼D201电力电池机房,1#开关电源蓄电池组,2,0,0.5169191219619237,0.0
1-D301电池室放电电池数据表.xlsx,DC1,咸阳秦都西咸数据中心1号楼D301电力电池机房,1#开关电源蓄电池组,2,0,0.5073169719674963,0.0
1-D203电池室放电电池数据表.xlsx,DC8,咸阳秦都西咸数据中心1号楼D203电力电池机房,8#开关电源蓄电池组,2,0,0.4644955581545134,0.0
1-D301电池室放电电池数据表.xlsx,DC2,咸阳秦都西咸数据中心1号楼D301电力电池机房,2#开关电源蓄电池组,2,0,0.4589317109164489,0.0
1-D303电池室放电电池数据表.xlsx,DC1,咸阳秦都西咸数据中心1号楼D303电力电池机房,1#开关电源蓄电池组,2,0,0.4556854170492818,0.0
1-D303电池室放电电池数据表.xlsx,DC7,咸阳秦都西咸数据中心1号楼D303电力电池机房,7#开关电源蓄电池组,2,0,0.44059306188943753,0.0
1-D203电池室放电电池数据表.xlsx,DC1,咸阳秦都西咸数据中心1号楼D203电力电池机房,1#开关电源蓄电池组,2,0,0.35338682036109426,0.0
